Дисциплина,Направление,Потоков,Групп,Лекции,Cеминары,ПК,КР,ТК
Основы технологий интернета вещей,ФИТиАБД_БИ(б-3+)_очная_5,1,2,16,42,21,0,15
Основы технологий интернета вещей,ФИТиАБД_ПИ(б-3++)_очная_5,1,3,16,58,16,0,16
Основы технологий интернета вещей,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,1,16,21,5,0,5
Основы технологий интернета вещей,ФИТиАБД_ПМиИ(б-3++)_очная_7,1,3,16,117,30,0,22
Основы цифровизации и роботизации агропромышленного комплекса,ФИТиАБД_МехРобот(м-3++)_очная_1,1,1,8,17,5,0,5
Построение и оценка моделей машинного обучения,ФИТиАБД_МехРобот(м-3++)_очная_4,1,1,10,40,9,0,5
Построение и оценка моделей машинного обучения,ФИТиАБД_ПМиИ(м-3++)_очная_3,2,2,16,40,19,0,11
Практикум по программированию,ИОО_ПИ(б-3++)_заочная_1,2,4,0,26,4,0,100
Практикум по программированию,ИОО_ПИ(б-3++)_заочная_2,2,4,0,27,4,0,100
Практикум по программированию,ИОО_ПИ(б-3++)_заочная_3,1,3,0,22,19,0,19
Практикум по программированию,ИОО_ПИ(б-3++)_заочная_4,1,3,0,22,19,0,19
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,0,168,60,0,200
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,0,168,60,0,200
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,0,147,58,0,58
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очная_4,2,8,0,147,58,0,58
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,0,72,30,0,100
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,0,72,30,0,100
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очно-заочная_3,1,2,0,36,14,0,14
Практикум по программированию,ФИТиАБД_ПИ(б-3++)_очно-заочная_4,1,2,0,36,14,0,14
Практикум по программированию,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,0,147,53,0,175
Практикум по программированию,ФИТиАБД_ПМиИ(б-3++)_очная_2,2,7,0,147,53,0,175
Практикум по программированию,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,0,126,44,0,44
Практикум по программированию,ФИТиАБД_ПМиИ(б-3++)_очная_4,2,6,0,126,44,0,44
Предиктивная аналитика больших данных,ИОО_ПИ(м-3++)_заочная_4,1,2,0,32,2,0,10
Предиктивная аналитика больших данных,ИОО_ПИ(м-3++)_заочная_5,1,1,4,16,10,0,6
Предиктивная аналитика больших данных,ФВШУ_Инноватика(б-3+)_очная_6,1,1,16,59,5,0,5
Предиктивная аналитика больших данных,ФИТиАБД_ПИ(м-3++)_очная_4,2,2,20,72,20,0,12
Предиктивная аналитика больших данных,ФИТиАБД_ПМиИ(м-3++)_очная_4,2,2,20,72,19,0,11
Прикладные задачи машинного обучения и обработки больших данных,ФинФ_Экономика(б-3+)_очная_5,1,2,16,114,20,0,14
Прикладные информационные системы,ИОО_ПИ(б-3++)_заочная_3,1,3,0,24,19,0,19
Прикладные информационные системы,ИОО_ПИ(б-3++)_заочная_4,1,2,0,12,8,0,8
Прикладные информационные системы,ИОО_ПИ(б-3++)_заочная_5,1,2,0,24,14,0,14
Прикладные модели и методы анализа нечисловой информации,ФИТиАБД_ПИ(м-3++)_очная_5,1,1,8,31,5,0,5
Прикладные модели и методы анализа нечисловой информации,ФИТиАБД_ПМиИ(м-3++)_очная_5,1,1,8,31,6,0,6
Программирование встроенных систем,ФИТиАБД_ПМиИ(б-3++)_очная_7,1,3,16,117,30,0,22
Программирование и анализ данных с помощью Python,ФВШУ_Инноватика(б-3++)_очная_3,1,2,16,78,15,0,0
Программирование и анализ данных с помощью Python,ФВШУ_Инноватика(б-3++)_очная_4,1,2,16,72,21,0,49
Программирование на языках Python и SQL,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,1,16,23,5,0,5
Программирование на языках Python и SQL,ФНАиБА_Экономика(м-3+)_очная_6,1,2,6,62,10,0,10
Программирование на Haskell,ИОО_ПИ(б-3+)_заочная_9,1,1,0,18,10,0,5
Программная инженерия,ИОО_ПИ(б-3++)_заочная_8,1,2,0,24,12,0,8
Программная инженерия,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,32,126,45,0,45
Программная инженерия,ФИТиАБД_ПИ(б-3++)_очная_6,2,6,32,216,61,0,45
Программная инженерия,ФИТиАБД_ПИ(б-3++)_очная_7,1,4,16,144,40,0,30
Программная инженерия,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,2,16,19,9,0,9
Программная инженерия,ФИТиАБД_ПИ(б-3++)_очно-заочная_7,1,1,8,20,10,0,6
Программное обеспечение агропромышленных мехатронных и робототехнических систем,ФИТиАБД_МехРобот(м-3++)_очная_4,1,1,10,40,5,0,16
Проектирование архитектуры информационных систем,ИОО_ПИ(м-3++)_заочная_3,1,2,0,44,2,0,32
Проектирование архитектуры информационных систем,ФИТиАБД_ПИ(м-3++)_очная_2,2,2,20,66,20,0,40
Проектирование архитектуры информационных систем,ФИТиАБД_ПМиИ(м-3++)_очная_2,2,2,20,72,19,0,36
"Проектирование бизнес-приложений в системе ""1С: Предприятие""",ФИТиАБД_ПИ(б-3++)_очная_5,1,4,16,116,30,0,30
"Проектирование бизнес-приложений в системе ""1С: Предприятие""",ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,1,16,21,5,0,5
Проектирование информационных систем,ИОО_ПИ(б-3++)_заочная_7,1,2,0,24,12,0,8
Проектирование информационных систем,ИОО_ПИ(м-3++)_заочная_5,1,1,4,16,10,0,19
Проектирование информационных систем,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,0,222,61,0,45
Проектирование информационных систем,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,2,16,20,9,0,9
Проектирование информационных систем,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,2,0,19,13,0,9
Проектирование систем цифровизации и управления в сельском хозяйстве,ФИТиАБД_МехРобот(м-3++)_очная_3,1,1,16,30,9,0,16
Разработка корпоративных приложений и облачные технологии,ФИТиАБД_ПИ(б-3++)_очная_7,1,4,16,172,30,0,30
Разработка корпоративных приложений и облачные технологии,ФИТиАБД_ПИ(б-3++)_очно-заочная_8,1,1,16,36,6,0,6
Разработка учетных и аналитических приложений в среде 1С:Предприятие,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,1,16,23,5,0,5
Рекомендательные системы,ФИТиАБД_ПМиИ(м-3++)_очная_6,1,1,10,24,9,0,5
Рекомендательные системы и коллаборативная фильтрация,ИОО_ПИ(б-3++)_заочная_7,1,2,0,16,12,0,8
Роботизированные агропромышленные системы,ФИТиАБД_МехРобот(м-3++)_очная_3,1,1,8,42,9,0,5
Сетевые системы и приложения,ИОО_ПИ(б-3++)_заочная_3,1,3,0,24,19,0,19
Сетевые системы и приложения,ИОО_ПИ(б-3++)_заочная_4,1,3,0,32,25,0,19
Сетевые системы и приложения,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,32,273,76,0,58
Сетевые системы и приложения,ФИТиАБД_ПИ(б-3++)_очно-заочная_3,1,2,16,42,14,0,14
Сетевые системы и приложения,ФИТиАБД_ПИ(б-3++)_очно-заочная_4,1,2,16,42,20,0,14
Системное и прикладное программное обеспечение,ИОО_ПИ(б-3++)_заочная_7,1,2,0,16,12,0,8
Системы массового обслуживания в приложении к параллельным вычислительным комплексам,ИОО_ПИ(б-3++)_заочная_7,1,2,0,16,12,0,8
Системы управления базами данных,ИОО_ПИ(б-3++)_заочная_3,2,5,0,48,30,0,26
Системы управления базами данных,ИОО_ПИ(б-3++)_заочная_4,1,3,0,32,25,0,19
Системы управления базами данных,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,32,273,76,0,58
Системы управления базами данных,ФИТиАБД_ПИ(б-3++)_очно-заочная_3,1,2,16,42,20,0,14
Системы управления базами данных,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,32,234,60,0,44
Современные нейросетевые технологии,ФИТиАБД_ПМиИ(м-3++)_очная_3,2,2,16,62,11,0,11
Современные нейросетевые технологии,ФИТиАБД_ПМиИ(м-3++)_очная_4,2,2,20,72,19,0,11
Современные нейросетевые технологии,ФИТиАБД_ПМиИ(м-3++)_очная_5,1,1,16,38,9,0,5
Современные нейросетевые технологии,ФИТиАБД_ПМиИ(м-3++)_очная_6,1,1,0,25,9,0,18
Современные технологии прикладного программирования и обработки данных,ИОО_Экономика(б-3+)_заочная_5,1,1,0,12,2,0,5
Современные технологии прикладного программирования и обработки данных,ИОО_Экономика(б-3+)_заочная_6,1,1,0,12,2,0,7
Современные технологии прикладного программирования и обработки данных,ФНАиБА_Экономика(б-3+)_очная_6,1,1,20,35,6,0,6
Современные технологии прикладного программирования и обработки данных,ФНАиБА_Экономика(б-3+)_очная_7,2,6,32,195,37,0,37
Современные технологии прикладного программирования и обработки данных,ФНАиБА_Экономика(б-3+)_очно-заочная_9,1,1,10,23,6,0,6
Современные технологии программирования,ИОО_ПИ(б-3++)_заочная_3,1,2,0,24,12,52,0
Современные технологии программирования,ИОО_ПИ(б-3++)_заочная_4,1,3,0,36,19,0,19
Современные технологии программирования,ИОО_ПИ(б-3++)_заочная_5,1,2,0,36,14,0,14
Современные технологии программирования,ИОО_ПИ(б-3++)_заочная_6,1,2,0,32,20,0,14
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,32,301,58,0,58
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очная_4,2,8,32,273,76,579,0
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,32,354,45,0,45
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очная_6,2,6,32,336,61,0,45
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очно-заочная_3,1,2,16,46,14,0,14
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очно-заочная_4,1,2,16,42,20,138,0
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,2,16,23,9,0,9
Современные технологии программирования,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,2,16,21,13,0,9
Стохастическая финансовая математика,ФИТиАБД_ПМиИ(б-3++)_очная_6,1,4,16,129,24,0,24
